Date,Open,High,Low,Close,AdjClose,Volume
2022-10-19,6425.00 ,6525.00 ,6400.00 ,6525.00 ,5979.27 ,25542800.00 
2022-10-18,6450.00 ,6500.00 ,6350.00 ,6350.00 ,5818.91 ,42600400.00 
2022-10-17,6325.00 ,6525.00 ,6200.00 ,6425.00 ,5887.64 ,50710300.00 
2022-10-14,6500.00 ,6500.00 ,6350.00 ,6350.00 ,5818.91 ,45496900.00 
2022-10-13,6375.00 ,6400.00 ,6275.00 ,6350.00 ,5818.91 ,44281200.00 
2022-10-12,6450.00 ,6475.00 ,6350.00 ,6350.00 ,5818.91 ,72794100.00 
2022-10-11,6400.00 ,6575.00 ,6400.00 ,6525.00 ,5898.63 ,35320000.00 
2022-10-10,6425.00 ,6525.00 ,6375.00 ,6500.00 ,5876.03 ,34319700.00 
2022-10-07,6550.00 ,6575.00 ,6450.00 ,6475.00 ,5853.43 ,54850200.00 
2022-10-06,6675.00 ,6750.00 ,6600.00 ,6600.00 ,5966.43 ,37002600.00 
2022-10-05,6800.00 ,6825.00 ,6675.00 ,6675.00 ,6034.23 ,31019300.00 
2022-10-04,6725.00 ,6800.00 ,6700.00 ,6725.00 ,6079.43 ,33322400.00 
2022-10-03,6650.00 ,6700.00 ,6600.00 ,6625.00 ,5989.03 ,27280600.00 
2022-09-30,6700.00 ,6750.00 ,6600.00 ,6625.00 ,5989.03 ,71017400.00 
2022-09-29,6850.00 ,6900.00 ,6700.00 ,6775.00 ,6124.63 ,36653400.00 
2022-09-28,6950.00 ,7000.00 ,6800.00 ,6800.00 ,6147.23 ,50825400.00 
2022-09-27,7000.00 ,7050.00 ,6950.00 ,6950.00 ,6282.84 ,42809400.00 
2022-09-26,7000.00 ,7025.00 ,6850.00 ,6975.00 ,6305.44 ,61422800.00 
2022-09-23,7100.00 ,7175.00 ,7050.00 ,7150.00 ,6463.64 ,22258800.00 
2022-09-22,7025.00 ,7225.00 ,7000.00 ,7175.00 ,6486.24 ,26295200.00 
